File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
0197e35a-79b9-43cc-baab-10264da1b725	a51b7073-656b-4fe2-a437-f3d573bab3ac.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J5	TCGA-OR-A5J5-01A	Primary Tumor
8122c3ec-d1e1-42b6-984e-4c1ff13fff59	77ce7ba1-9173-4a9e-afe4-66f8411d88c0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5L6	TCGA-OR-A5L6-01A	Primary Tumor
ca5ab97d-1b27-4322-a7df-d2f6ea0f4639	42449353-9dca-4ec7-90b1-408c9d7a4224.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LD	TCGA-OR-A5LD-01A	Primary Tumor
2b597df8-c838-40f6-93bf-38bcc52c9fd7	42ceca43-2a1a-4f8a-baf7-c19adce95173.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-PK-A5H8	TCGA-PK-A5H8-01A	Primary Tumor
3ae97dc9-0ea3-4ee2-8334-a6f4e18dbd14	ae2fe0b0-d379-412f-9a8a-85195542d4c1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LT	TCGA-OR-A5LT-01A	Primary Tumor
460d930f-95c1-4267-863c-15e32d60b9ad	921d89a5-6d80-4473-ab43-b459e52fbfac.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LG	TCGA-OR-A5LG-01A	Primary Tumor
4bdfc26c-0634-4985-8e33-eaf452cb9e0d	af20afb0-8812-4a15-9eda-639562cab169.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JR	TCGA-OR-A5JR-01A	Primary Tumor
dcca3dbe-cab2-4ece-bbaa-ebf7f21ecdd8	132765d2-100e-4edf-a93c-0627c102cc10.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-PK-A5HB	TCGA-PK-A5HB-01A	Primary Tumor
c4d0b6f3-24a5-4a56-82cc-23b3e3826402	6c416e81-459b-4fa4-8f16-7f0c8b8442e1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JX	TCGA-OR-A5JX-01A	Primary Tumor
f03a6e13-2af2-409b-925e-df318d66d44c	a31ae0ac-683a-4e75-9af7-03bae233d6f2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K3	TCGA-OR-A5K3-01A	Primary Tumor
f839f9df-aa52-45c1-a80d-04601836a324	8e784384-e42b-4e04-9c11-d5dd391728f5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JC	TCGA-OR-A5JC-01A	Primary Tumor
2c329656-09ae-4889-8283-ce519a4abc15	591900d8-1acb-4a33-b195-6f7a92b9036b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JJ	TCGA-OR-A5JJ-01A	Primary Tumor
5318ea25-0ecb-413e-9e8b-cb256780ed7e	be58e260-25a2-40fc-878f-cdf095908383.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-PK-A5HA	TCGA-PK-A5HA-01A	Primary Tumor
dc0e42d8-925e-458c-a7e5-8460b7c1a272	1e7744d0-6924-4d35-8a8e-b690efcd6742.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LM	TCGA-OR-A5LM-01A	Primary Tumor
b121abec-aae8-41a5-b20a-99e4ed458f22	2590079e-a224-4af4-8f3f-29fb8972278c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JV	TCGA-OR-A5JV-01A	Primary Tumor
1482d80c-478e-4b74-bb94-444e1b14243c	d79cc425-b0d5-4d6f-9254-9b6d3d1b86d8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J8	TCGA-OR-A5J8-01A	Primary Tumor
680edb25-3e0e-48a8-9cd9-f7442a095048	626a41f3-d2d3-41d6-ab86-1643df2fa24f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5KZ	TCGA-OR-A5KZ-01A	Primary Tumor
3e8ee133-6bc5-41fc-83cb-ee51c5df4206	c97e243f-1a56-4a5c-89e2-81638c7b4d29.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JI	TCGA-OR-A5JI-01A	Primary Tumor
4eb52449-a7e5-41ce-856b-e0440e629c60	df34297d-30aa-484d-8d21-4c1223716469.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JP	TCGA-OR-A5JP-01A	Primary Tumor
3c9b8e07-ed56-4d87-aa0a-f116f3174615	497b71cc-eb6a-4a4d-9dfb-22cf8404fe42.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LB	TCGA-OR-A5LB-01A	Primary Tumor
11777917-4be1-4332-85ca-6f01ddf78a7f	d458903f-af56-44ac-a2e8-1d7c7066a912.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JK	TCGA-OR-A5JK-01A	Primary Tumor
a85b4a14-0328-4bc4-bb03-cf0448be56d0	bb954fd8-e39f-425c-bac8-ac082e857ca1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K1	TCGA-OR-A5K1-01A	Primary Tumor
602a4c51-1f13-4cda-94d4-91406776cc56	90f17962-026b-4479-af46-24f4caff2cc8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JB	TCGA-OR-A5JB-01A	Primary Tumor
1dacf1fc-1f64-4836-a59a-9c302383c531	643b7f6a-3bc1-46bd-8ca7-c127e04c0563.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-PA-A5YG	TCGA-PA-A5YG-01A	Primary Tumor
aecab13d-b7f9-4f48-8217-36a80437782b	fe7036d5-db1b-4052-ae07-1ffa07b9d3a8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J1	TCGA-OR-A5J1-01A	Primary Tumor
4650fc40-5614-40c0-9034-1321bd7cd0d7	75fbb2a1-84b0-420a-a988-87c5726ca7db.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K8	TCGA-OR-A5K8-01A	Primary Tumor
411e153c-2717-4fa8-9394-2477e390e448	c56a53fd-2141-4531-8c4d-d782038cbb7d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JZ	TCGA-OR-A5JZ-01A	Primary Tumor
22e53685-d9e3-4ffb-9a4f-20f95d3f64f4	542dc6e1-0c30-4a5d-a899-74499e59d4b3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JW	TCGA-OR-A5JW-01A	Primary Tumor
a4bc2a3c-0b65-4de5-a7e6-3ac27e7c121c	bc171956-ada6-4488-882a-8e61e6466b02.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LE	TCGA-OR-A5LE-01A	Primary Tumor
b5b3b87f-d6d6-402b-8b78-ea55d746cfc2	dd9c6986-44e3-4fea-b819-01aba752a6a2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JG	TCGA-OR-A5JG-01A	Primary Tumor
6f86c08f-a656-451c-8f85-c9a4e7a35e3a	b06eed9e-bc1f-4c75-a2ed-341bf1a8b94a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LK	TCGA-OR-A5LK-01A	Primary Tumor
